Subject,Accuracy,Treatment Condition,Age Group
20,0,Treatment,Older
20,1,Control,Older
20,0,Control,Older
20,0,Control,Older
20,1,Treatment,Older
20,0,Treatment,Older
20,0,Treatment,Older
20,0,Control,Older
20,0,Treatment,Older
20,1,Treatment,Older
20,0,Control,Older
20,0,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,0,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,0,Treatment,Older
21,0,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,0,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,0,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,0,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
21,1,Control,Older
21,1,Treatment,Older
21,1,Treatment,Older
22,1,Treatment,Older
22,0,Control,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Control,Older
22,0,Control,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,0,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,0,Treatment,Older
22,0,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,0,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,0,Treatment,Older
22,1,Control,Older
22,0,Treatment,Older
22,0,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,0,Control,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Treatment,Older
22,1,Control,Older
22,1,Treatment,Older
22,1,Control,Older
23,0,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,0,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,0,Control,Older
23,1,Control,Older
23,1,Control,Older
23,0,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,0,Control,Older
23,1,Treatment,Older
23,0,Control,Older
23,1,Control,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Control,Older
23,1,Control,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,1,Treatment,Older
23,0,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Control,Older
24,0,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,0,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,0,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,0,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,0,Control,Older
24,1,Control,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,0,Control,Older
24,1,Control,Older
24,1,Control,Older
24,1,Control,Older
24,1,Treatment,Older
24,0,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Control,Older
24,1,Control,Older
24,0,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Control,Older
24,0,Control,Older
24,1,Treatment,Older
24,1,Treatment,Older
24,1,Control,Older
24,1,Treatment,Older
24,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,0,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,0,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,0,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Treatment,Older
25,1,Control,Older
25,0,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Control,Older
25,1,Treatment,Older
25,0,Control,Older
25,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,0,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,0,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,0,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,0,Treatment,Older
26,1,Treatment,Older
26,0,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,0,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Treatment,Older
26,1,Control,Older
26,1,Control,Older
26,1,Control,Older
26,1,Treatment,Older
26,1,Control,Older
27,1,Control,Older
27,1,Treatment,Older
27,1,Control,Older
27,0,Control,Older
27,1,Control,Older
27,1,Control,Older
27,1,Treatment,Older
27,0,Control,Older
27,1,Control,Older
27,0,Treatment,Older
27,1,Treatment,Older
27,0,Treatment,Older
27,1,Treatment,Older
27,1,Treatment,Older
27,1,Treatment,Older
27,1,Control,Older
27,1,Treatment,Older
27,0,Control,Older
27,0,Control,Older
27,0,Control,Older
27,0,Control,Older
27,0,Treatment,Older
27,1,Treatment,Older
27,1,Treatment,Older
27,1,Control,Older
27,0,Treatment,Older
27,1,Control,Older
27,0,Treatment,Older
27,1,Control,Older
27,1,Control,Older
27,0,Treatment,Older
27,1,Control,Older
27,0,Treatment,Older
27,0,Control,Older
27,1,Control,Older
27,1,Control,Older
27,0,Control,Older
27,1,Control,Older
27,0,Treatment,Older
27,0,Control,Older
27,0,Control,Older
27,0,Treatment,Older
27,1,Treatment,Older
27,1,Control,Older
27,1,Treatment,Older
27,1,Treatment,Older
27,0,Treatment,Older
27,1,Control,Older
27,0,Treatment,Older
27,0,Control,Older
27,1,Treatment,Older
27,0,Treatment,Older
27,0,Control,Older
27,1,Control,Older
27,0,Treatment,Older
27,0,Treatment,Older
27,1,Control,Older
27,0,Treatment,Older
27,1,Control,Older
27,1,Treatment,Older
27,0,Control,Older
27,1,Treatment,Older
27,1,Treatment,Older
27,0,Treatment,Older
28,0,Treatment,Older
28,0,Control,Older
28,1,Control,Older
28,1,Control,Older
28,1,Control,Older
28,1,Control,Older
28,0,Treatment,Older
28,1,Control,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,0,Control,Older
28,0,Treatment,Older
28,0,Control,Older
28,0,Control,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,1,Control,Older
28,1,Control,Older
28,1,Treatment,Older
28,0,Control,Older
28,1,Treatment,Older
28,0,Treatment,Older
28,0,Treatment,Older
28,1,Control,Older
28,1,Treatment,Older
28,0,Treatment,Older
28,1,Treatment,Older
28,1,Treatment,Older
28,0,Treatment,Older
28,1,Control,Older
28,1,Treatment,Older
28,0,Control,Older
28,0,Control,Older
28,1,Treatment,Older
28,1,Control,Older
28,0,Control,Older
28,0,Treatment,Older
28,1,Treatment,Older
28,1,Control,Older
28,1,Treatment,Older
28,0,Control,Older
28,0,Control,Older
28,1,Control,Older
28,0,Treatment,Older
28,1,Treatment,Older
28,0,Treatment,Older
28,0,Control,Older
28,1,Treatment,Older
28,0,Control,Older
28,0,Treatment,Older
28,1,Control,Older
28,1,Treatment,Older
28,0,Control,Older
28,1,Control,Older
28,1,Control,Older
28,1,Control,Older
28,1,Control,Older
28,0,Control,Older
28,1,Control,Older
28,1,Treatment,Older
28,1,Treatment,Older
29,0,Control,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,0,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Control,Older
29,1,Control,Older
29,0,Control,Older
29,1,Treatment,Older
29,1,Control,Older
29,1,Treatment,Older
29,1,Treatment,Older
30,0,Treatment,Older
30,0,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,0,Treatment,Older
30,0,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,0,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Control,Older
30,1,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,0,Control,Older
30,1,Control,Older
30,1,Control,Older
30,1,Control,Older
30,0,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Control,Older
30,1,Control,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Treatment,Older
30,1,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,0,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,0,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,0,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Control,Older
31,1,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,0,Treatment,Older
31,0,Control,Older
31,1,Control,Older
31,0,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,0,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Control,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,0,Treatment,Older
31,1,Treatment,Older
31,1,Control,Older
31,1,Treatment,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,0,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,0,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,1,Control,Older
32,1,Control,Older
32,1,Treatment,Older
32,1,Control,Older
32,0,Treatment,Older
32,1,Treatment,Older
32,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Control,Older
33,0,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,0,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Control,Older
33,0,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,0,Control,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Control,Older
33,0,Control,Older
33,0,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,0,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Control,Older
33,1,Treatment,Older
33,1,Control,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Treatment,Older
33,1,Control,Older
34,1,Treatment,Older
34,0,Control,Older
34,1,Control,Older
34,1,Control,Older
34,1,Control,Older
34,0,Treatment,Older
34,0,Treatment,Older
34,1,Control,Older
34,0,Treatment,Older
34,0,Treatment,Older
34,1,Treatment,Older
34,0,Treatment,Older
34,0,Control,Older
34,1,Treatment,Older
34,0,Control,Older
34,1,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Control,Older
34,0,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,0,Treatment,Older
34,0,Control,Older
34,1,Control,Older
34,1,Control,Older
34,0,Treatment,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Treatment,Older
34,0,Treatment,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Control,Older
34,0,Treatment,Older
34,1,Treatment,Older
34,0,Treatment,Older
34,0,Control,Older
34,1,Control,Older
34,1,Treatment,Older
34,1,Treatment,Older
34,1,Treatment,Older
34,1,Control,Older
34,1,Control,Older
34,1,Control,Older
34,0,Treatment,Older
34,1,Control,Older
34,1,Treatment,Older
34,0,Control,Older
34,0,Treatment,Older
34,1,Treatment,Older
35,1,Control,Older
35,1,Control,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Control,Older
35,1,Control,Older
35,0,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,0,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Control,Older
35,1,Control,Older
35,1,Control,Older
35,0,Control,Older
35,1,Control,Older
35,1,Control,Older
35,0,Treatment,Older
35,1,Control,Older
35,1,Control,Older
35,1,Control,Older
35,1,Control,Older
35,0,Control,Older
35,0,Treatment,Older
35,0,Treatment,Older
35,1,Control,Older
35,1,Control,Older
35,1,Control,Older
35,1,Treatment,Older
35,0,Control,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Control,Older
35,0,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,0,Control,Older
35,0,Control,Older
35,0,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Control,Older
35,0,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,0,Treatment,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Control,Older
35,1,Treatment,Older
35,1,Treatment,Older
35,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,0,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,0,Treatment,Older
36,0,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,0,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Control,Older
36,1,Control,Older
36,1,Treatment,Older
36,1,Treatment,Older
37,0,Control,Older
37,1,Control,Older
37,0,Control,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Control,Older
37,0,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,0,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Control,Older
37,1,Control,Older
37,1,Control,Older
37,1,Control,Older
37,0,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Treatment,Older
37,0,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,0,Treatment,Older
37,0,Treatment,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Control,Older
37,0,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Control,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,1,Treatment,Older
37,0,Control,Older
37,0,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,0,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Control,Older
38,0,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,0,Control,Older
38,0,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Control,Older
38,0,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,0,Control,Older
38,1,Control,Older
38,1,Control,Older
38,0,Treatment,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,1,Control,Older
38,0,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Treatment,Older
38,1,Control,Older
38,1,Treatment,Older
38,1,Treatment,Older
39,1,Treatment,Older
39,0,Control,Older
39,1,Control,Older
39,0,Control,Older
39,1,Treatment,Older
39,0,Control,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Treatment,Older
39,0,Treatment,Older
39,1,Control,Older
39,1,Control,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,1,Control,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Treatment,Older
39,1,Control,Older
39,1,Treatment,Older
39,0,Treatment,Older
39,1,Control,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Treatment,Older
39,0,Control,Older
39,0,Control,Older
39,0,Treatment,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,0,Treatment,Older
39,1,Control,Older
39,1,Control,Older
39,0,Control,Older
39,0,Control,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,0,Treatment,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,1,Control,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Control,Older
39,1,Treatment,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Control,Older
39,0,Treatment,Older
39,0,Control,Older
39,0,Treatment,Older
39,1,Control,Older
39,0,Treatment,Older
39,1,Treatment,Older
39,1,Control,Older
39,0,Treatment,Older
39,0,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,0,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,0,Treatment,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,1,Treatment,Older
40,0,Treatment,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Control,Older
40,1,Treatment,Older
40,1,Control,Older
40,1,Treatment,Older
40,0,Control,Older
40,1,Treatment,Older
40,1,Control,Older
