Subject,Accuracy,Time of Day,Treatment Condition
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,0,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,0,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Control
24,0,Morning,Control
24,1,Morning,Control
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,0,Morning,Control
24,1,Morning,Control
24,1,Morning,Control
24,1,Morning,Control
24,1,Morning,Treatment
24,0,Morning,Treatment
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Control
24,1,Morning,Control
24,0,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Control
24,0,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Morning,Treatment
24,1,Morning,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Treatment
24,0,Night,Treatment
24,0,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,0,Night,Treatment
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Control
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,0,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
24,1,Night,Control
24,1,Night,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,0,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,0,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,0,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Treatment
25,1,Morning,Control
25,0,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Control
25,1,Morning,Treatment
25,0,Morning,Control
25,1,Morning,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,0,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
25,1,Night,Control
25,1,Night,Control
25,1,Night,Control
25,1,Night,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,0,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,0,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,0,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,0,Morning,Treatment
26,1,Morning,Treatment
26,0,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,0,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Control
26,1,Morning,Treatment
26,1,Morning,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Treatment
26,1,Night,Control
26,1,Night,Treatment
26,1,Night,Control
26,0,Night,Control
26,1,Night,Control
26,0,Night,Treatment
27,1,Morning,Control
27,1,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Control
27,1,Morning,Control
27,1,Morning,Control
27,1,Morning,Treatment
27,0,Morning,Control
27,1,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Treatment
27,0,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Control
27,1,Morning,Treatment
27,0,Morning,Control
27,0,Morning,Control
27,0,Morning,Control
27,0,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Control
27,1,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Treatment
27,0,Morning,Control
27,1,Morning,Control
27,1,Morning,Control
27,0,Morning,Control
27,1,Morning,Control
27,0,Morning,Treatment
27,0,Morning,Control
27,0,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Treatment
27,1,Morning,Control
27,1,Morning,Treatment
27,1,Morning,Treatment
27,0,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Treatment
27,0,Morning,Control
27,1,Morning,Treatment
27,0,Morning,Treatment
27,0,Morning,Control
27,1,Morning,Control
27,0,Morning,Treatment
27,0,Morning,Treatment
27,1,Morning,Control
27,0,Morning,Treatment
27,1,Morning,Control
27,1,Morning,Treatment
27,0,Morning,Control
27,1,Morning,Treatment
27,1,Morning,Treatment
27,0,Morning,Treatment
27,1,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,1,Night,Treatment
27,1,Night,Control
27,1,Night,Control
27,1,Night,Control
27,0,Night,Control
27,1,Night,Treatment
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Treatment
27,1,Night,Control
27,1,Night,Control
27,1,Night,Treatment
27,0,Night,Control
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,1,Night,Treatment
27,1,Night,Treatment
27,1,Night,Control
27,1,Night,Treatment
27,0,Night,Treatment
27,1,Night,Treatment
27,0,Night,Control
27,1,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Treatment
27,1,Night,Control
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,1,Night,Treatment
27,0,Night,Control
27,0,Night,Treatment
27,0,Night,Control
27,0,Night,Control
27,1,Night,Treatment
27,1,Night,Treatment
27,1,Night,Treatment
27,0,Night,Control
27,1,Night,Treatment
27,0,Night,Treatment
27,1,Night,Treatment
27,0,Night,Control
27,1,Night,Control
27,0,Night,Treatment
27,1,Night,Control
27,1,Night,Treatment
27,0,Night,Control
27,1,Night,Control
27,0,Night,Treatment
27,1,Night,Treatment
27,0,Night,Treatment
27,1,Night,Control
27,1,Night,Treatment
27,0,Night,Control
27,0,Night,Treatment
28,0,Morning,Treatment
28,0,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,0,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Treatment
28,0,Morning,Control
28,0,Morning,Treatment
28,0,Morning,Control
28,0,Morning,Control
28,1,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Treatment
28,0,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Treatment
28,0,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Control
28,0,Morning,Control
28,1,Morning,Treatment
28,1,Morning,Control
28,0,Morning,Control
28,0,Morning,Treatment
28,1,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Control
28,0,Morning,Control
28,1,Morning,Control
28,0,Morning,Treatment
28,1,Morning,Treatment
28,0,Morning,Treatment
28,0,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Control
28,0,Morning,Treatment
28,1,Morning,Control
28,1,Morning,Treatment
28,0,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,1,Morning,Control
28,0,Morning,Control
28,1,Morning,Control
28,1,Morning,Treatment
28,1,Morning,Treatment
28,1,Night,Control
28,1,Night,Control
28,0,Night,Treatment
28,0,Night,Treatment
28,0,Night,Treatment
28,0,Night,Treatment
28,0,Night,Control
28,1,Night,Control
28,1,Night,Treatment
28,1,Night,Control
28,1,Night,Control
28,1,Night,Treatment
28,1,Night,Treatment
28,1,Night,Control
28,1,Night,Treatment
28,1,Night,Control
28,0,Night,Treatment
28,0,Night,Treatment
28,0,Night,Control
28,1,Night,Control
28,1,Night,Control
28,0,Night,Treatment
28,0,Night,Treatment
28,1,Night,Treatment
28,0,Night,Treatment
28,1,Night,Treatment
28,0,Night,Treatment
28,0,Night,Control
28,0,Night,Treatment
28,0,Night,Control
28,1,Night,Treatment
28,0,Night,Control
28,1,Night,Control
28,0,Night,Treatment
28,1,Night,Treatment
28,1,Night,Treatment
28,0,Night,Treatment
28,1,Night,Control
28,0,Night,Treatment
28,0,Night,Control
28,0,Night,Treatment
28,1,Night,Treatment
28,0,Night,Treatment
28,0,Night,Control
28,1,Night,Treatment
28,0,Night,Treatment
28,1,Night,Control
28,1,Night,Control
28,1,Night,Control
28,0,Night,Control
28,0,Night,Control
28,1,Night,Control
28,0,Night,Treatment
28,0,Night,Control
28,0,Night,Control
28,1,Night,Control
28,1,Night,Treatment
28,1,Night,Treatment
28,0,Night,Control
28,0,Night,Control
28,1,Night,Treatment
28,0,Night,Control
28,0,Night,Control
28,0,Night,Control
29,0,Morning,Control
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,0,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Control
29,1,Morning,Control
29,0,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Control
29,1,Morning,Treatment
29,1,Morning,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Control
29,0,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,0,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Treatment
29,1,Night,Control
29,1,Night,Control
29,1,Night,Control
29,1,Night,Treatment
30,0,Morning,Treatment
30,0,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,0,Morning,Treatment
30,0,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,0,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,0,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,0,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Morning,Control
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Treatment
30,1,Morning,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,0,Night,Treatment
30,0,Night,Treatment
30,0,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,0,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,0,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
30,1,Night,Treatment
30,1,Night,Treatment
30,1,Night,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,0,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,0,Morning,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,0,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,0,Morning,Treatment
31,0,Morning,Control
31,1,Morning,Control
31,0,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,0,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,0,Morning,Treatment
31,1,Morning,Treatment
31,1,Morning,Control
31,1,Morning,Treatment
31,0,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,0,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Control
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Control
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Treatment
31,1,Night,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,0,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Treatment
32,0,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Control
32,1,Morning,Treatment
32,1,Morning,Control
32,0,Morning,Treatment
32,1,Morning,Treatment
32,1,Morning,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,0,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,0,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,0,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,0,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Treatment
32,1,Night,Control
32,1,Night,Control
32,1,Night,Treatment
32,1,Night,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,0,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,0,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Control
33,0,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Treatment
33,0,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Control
33,0,Morning,Control
33,0,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,0,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Treatment
33,1,Morning,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Treatment
33,1,Night,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Control
33,1,Night,Treatment
33,1,Night,Treatment
33,1,Night,Treatment
33,1,Night,Treatment
33,1,Night,Control
33,1,Night,Control
33,0,Night,Treatment
33,1,Night,Control
33,1,Night,Control
